profile_id,segment,persona,title_focus,company_archetype,team_size,timezone_complexity,current_oncall_setup,pain_signal_primary,pain_signal_secondary,trigger_event,budget_owner,hypothesis_value_message,priority_1_5,status,next_step
P01,Seed-Series A B2B SaaS,Engineering Manager,Product engineering owner,SaaS startup with 1 platform team,8,low,"Google Calendar + spreadsheet","manual swap chaos","PTO conflicts break rotation",recent production incident,Head of Engineering,"Automate swaps and PTO changes directly in Google Calendar",5,not_contacted,send_template_1
P02,Seed-Series A B2B SaaS,Head of Engineering,Team leadership owner,SaaS startup with weekly releases,12,medium,"Recurring events + Slack reminders","stale calendar ownership","handoff confusion after incidents",new enterprise customer launch,Head of Engineering,"Keep ownership accurate without extra manager admin",5,not_contacted,send_template_1
P03,Seed-Series A B2B SaaS,SRE Lead,Reliability owner,API-first startup with small SRE function,10,medium,"Manual rotation docs + calendar","coverage gaps on weekends","last-minute change overhead",on-call burnout complaint,CTO,"Generate reliable rotations and alert on uncovered shifts",4,not_contacted,send_template_2
P04,Seed-Series A B2B SaaS,Staff Engineer,On-call captain,Developer tools startup,9,low,"Calendar events edited by hand","who-is-on-call confusion","no audit trail for swaps",new incident postmortem action item,Head of Engineering,"Single source of truth for current owner in Google Calendar",4,not_contacted,send_template_2
P05,Seed-Series A B2B SaaS,VP Engineering,Budget and ops owner,B2B workflow startup,15,medium,"Spreadsheet rota + recurring calendar","manager time drain","calendar drift after PTO",engineering org expansion,VP Engineering,"Cut schedule administration load for engineering leadership",3,not_contacted,request_warm_intro
P06,Seed-Series A B2B SaaS,Engineering Manager,Backend team owner,Security SaaS startup,11,high,"Google Calendar + ad hoc Slack swaps","timezone handoff errors","late-night ownership ambiguity",added overseas contractor,Head of Engineering,"Handle timezone-aware handoffs and clear event ownership",4,not_contacted,send_template_1
P07,Seed-Series A B2B SaaS,Head of Platform,Platform operations owner,Fintech SaaS startup,14,medium,"Manual rota in Notion + calendar","manual edits every week","escalation delays",customer SLA tightening,Head of Platform,"Auto-sync platform rotation to calendar with fewer misses",4,not_contacted,send_template_1
P08,Seed-Series A B2B SaaS,Engineering Manager,Infra team owner,Data SaaS startup,7,low,"Single shared calendar","no structured swap flow","owner confusion in holidays",upcoming holiday season,Engineering Manager,"Simple swap workflow without moving off Google Calendar",5,not_contacted,send_template_2
P09,Seed-Series A B2B SaaS,CTO,Technical and budget owner,Early-stage AI SaaS startup,13,high,"Founder-managed calendar schedule","founder still fixing rota","no repeatable process",hiring second engineering manager,CTO,"Operationalize on-call without adding process overhead",3,not_contacted,request_warm_intro
P10,Seed-Series A B2B SaaS,SRE Lead,Incident response owner,Remote-first startup,10,high,"Google Calendar + Slack thread","swap approvals lost in chat","calendar not updated in time",recent missed page ownership,SRE Lead,"Convert chat swaps into immediate calendar updates",5,not_contacted,send_template_1
P11,Growth-stage SaaS,Engineering Manager,Core product team owner,B2B SaaS scale-up with support SLAs,22,medium,"Pager tooling + manual calendar mirror","duplicate schedule maintenance","calendar mirror quickly stale",support escalation audit,VP Engineering,"Remove double-entry between schedule systems and calendar",5,not_contacted,send_template_1
P12,Growth-stage SaaS,Support Engineering Manager,Support escalation owner,Customer support platform,18,high,"Regional rota spreadsheet + calendar","regional handoff confusion","weekend coverage uncertainty",expanding to EMEA,Director of Support Engineering,"Keep regional on-call visible and accurate in one calendar",4,not_contacted,send_template_2
P13,Growth-stage SaaS,VP Engineering,Org operations owner,Project management SaaS,35,high,"Shared calendar with manual overrides","admin toil across teams","inconsistent ownership standards",reorg into pods,VP Engineering,"Standardize on-call ownership display across pods",3,not_contacted,request_warm_intro
P14,Growth-stage SaaS,SRE Manager,Reliability team owner,Compliance-heavy B2B SaaS,24,medium,"Runbook + calendar sync by hand","audit difficulty for swap history","frequent manual reconciliation",internal compliance review,SRE Manager,"Audit-ready swap logs and reliable calendar projection",4,not_contacted,send_template_1
P15,Growth-stage SaaS,Head of Engineering,Budget owner,HR tech SaaS company,28,low,"Opsgenie schedules + Google Calendar copy","copy process gets skipped","on-call confusion in all-hands",new manager onboarding,Head of Engineering,"Automate calendar copy and reduce manager overhead",5,not_contacted,send_template_2
P16,Growth-stage SaaS,Platform Engineering Manager,Platform owner,Infrastructure automation SaaS,20,medium,"Calendar + homegrown script","script breaks silently","missed updates after PTO",script maintainer left,Director of Engineering,"Replace brittle scripts with reliable managed sync",5,not_contacted,send_template_1
P17,Growth-stage SaaS,Incident Commander,Operational responder,Observability SaaS,26,high,"Slack-based swaps + calendar","incident bridge cannot find owner","handoff mistakes at shift boundary",post-incident action backlog,VP Engineering,"Make current on-call owner instantly obvious during incidents",4,not_contacted,send_template_2
P18,Growth-stage SaaS,Engineering Manager,Mobile team owner,Consumer subscription SaaS,19,high,"Manual rota by geography","timezone mismatch errors","holiday schedule churn",international growth,Engineering Manager,"Automate timezone-safe shifts and holiday adjustments",4,not_contacted,send_template_1
P19,Growth-stage SaaS,Director of Engineering,Org-level owner,Legal tech SaaS,30,medium,"Spreadsheet planning + monthly calendar import","import process error-prone","late changes are not captured",quarterly reliability OKR,Director of Engineering,"Continuous sync from rotation plan to live calendar",4,not_contacted,send_template_1
P20,Growth-stage SaaS,SRE Lead,Reliability owner,Commerce SaaS with 24x7 support,25,high,"Google Calendar plus manual backup","no uncovered shift alerting","fatigue from manual checks",burnout feedback in retro,SRE Lead,"Detect gaps early and reduce manual schedule verification",5,not_contacted,send_template_2
P21,Infra and DevTools,Head of Platform,Platform budget owner,Developer infrastructure company,32,high,"Multiple team calendars managed manually","cross-team ownership unclear","too many hand-edited events",platform centralization initiative,Head of Platform,"Unify and automate on-call calendar ownership across teams",4,not_contacted,send_template_1
P22,Infra and DevTools,SRE Manager,Reliability owner,Cloud cost optimization startup,16,medium,"Google Calendar + custom labels","label drift causes confusion","swap history missing",customer escalation on response time,SRE Manager,"Accurate schedule ownership with lightweight auditability",4,not_contacted,send_template_1
P23,Infra and DevTools,Engineering Manager,Runtime team owner,API gateway startup,14,high,"Slack-driven schedule updates","changes not reflected in calendar","handoff errors after swaps",team moved to follow-the-sun,Engineering Manager,"Turn ad hoc changes into consistent calendar updates",5,not_contacted,send_template_2
P24,Infra and DevTools,Staff SRE,On-call operations owner,Security monitoring platform,12,high,"Manual event edits in shared calendar","high change volume on incident weeks","ownership uncertainty during outages",several high-severity incidents,Head of Engineering,"Fast swap and override handling during high-incident weeks",5,not_contacted,send_template_1
P25,Infra and DevTools,Director Engineering,Budget and process owner,Container tooling vendor,27,medium,"Opsgenie + separate Google Calendar view","calendar not trusted internally","duplicate admin work",new support process rollout,Director Engineering,"Keep calendar trustworthy while retaining existing stack",4,not_contacted,send_template_2
P26,Infra and DevTools,Head of Engineering,Engineering org owner,Data platform startup,21,low,"Manual rotating events","week-to-week inconsistency","manager reminders required",new engineering manager joined,Head of Engineering,"Remove reminder-driven schedule management",3,not_contacted,request_warm_intro
P27,Infra and DevTools,VP Engineering,Executive sponsor,DevSecOps startup,38,high,"Complex rota docs + manual calendar","coordination overhead across managers","unclear escalation owner",expanding enterprise SLAs,VP Engineering,"Reduce operational risk from schedule inconsistencies",3,not_contacted,request_warm_intro
P28,Infra and DevTools,Engineering Manager,Core services owner,Messaging infrastructure startup,17,medium,"Google Calendar only","limited swap controls","weekend coverage stress",rotation redesign discussion,Engineering Manager,"Add swap workflow and coverage confidence without new tool sprawl",5,not_contacted,send_template_1
P29,Infra and DevTools,SRE Lead,Reliability and incident owner,Database tooling startup,23,high,"Spreadsheet + recurring events","manual fairness checks","timezone swaps are painful",team expanded to APAC,SRE Lead,"Automate fair rotation with accurate timezone-based ownership",4,not_contacted,send_template_2
P30,Infra and DevTools,Platform Engineer,On-call process contributor,CI/CD platform startup,15,medium,"Ad hoc calendar edits","no clear owner for updates","shift gaps discovered late",ownership changed after reorg,Engineering Manager,"Establish clear ownership and automated update flow",4,not_contacted,send_template_1
